route_id,route_name,mode,operator,start_stop,end_stop,stops_count,stops_list,distance_km_est,total_travel_time_min,dwell_time_total_min,avg_speed_kmh_est,frequency_min,service_start,service_end,trips_per_day_est,geometry_wkt,source
R0001,TRANSMILENIO_TRONCAL Modelo — Suba,transmilenio_troncal,Transmilenio S.A.,Modelo,Suba,13,Modelo;CiudadBolívar;Avenida19;Chapinero;Centro;Engativá;La Candelaria;ColinaCampestre;Museo;Salitre;San Victorino;Kennedy;Suba,11.29,34,3,19.93,12,06:32:00,21:36:00,75,LINESTRING(...),synthetic_generated_by_chatgpt
R0002,TRANSMILENIO_TRONCAL Avenida39 — Modelo,transmilenio_troncal,Operador B,Avenida39,Modelo,5,Avenida39;Fontibón;Chapinero;Centro;Modelo,5.17,19,1,16.32,5,05:50:00,22:26:00,199,LINESTRING(...),synthetic_generated_by_chatgpt
R0003,SITP_COMPLEMENTARIA Galerías — Soacha,sitp_complementaria,Consorcio Zonal,Galerías,Soacha,13,Galerías;Centro;NQS;Museo;Monserrate;Quirigua;Marly;GranEstación;Venecia;El Tintal;Avenida39;Usme;Soacha,14.9,49,8,18.25,30,06:04:00,22:13:00,32,LINESTRING(...),synthetic_generated_by_chatgpt
R0004,SITP_COMPLEMENTARIA Cedritos — Calle80,sitp_complementaria,Transmilenio S.A.,Cedritos,Calle80,16,Cedritos;Centro;Venecia;Acueducto;Modelo;Parque93;ZonaFranc;Kennedy;Museo;Salitre;ColinaCampestre;Soacha;Av.Calle26;Teusaquillo;Engativá;Calle80,17.43,52,4,20.11,15,06:40:00,21:33:00,59,LINESTRING(...),synthetic_generated_by_chatgpt
R0005,TRANSMILENIO_TRONCAL LasAguas — GranEstación,transmilenio_troncal,Operador B,LasAguas,GranEstación,16,LasAguas;Soacha;La Candelaria;Cedritos;San Victorino;Restrepo;Calle80;Parque93;Quirigua;La Castellana;Galerías;Acueducto;Chía;Fontibón;Engativá;GranEstación,14.89,55,5,16.24,30,06:55:00,21:09:00,28,LINESTRING(...),synthetic_generated_by_chatgpt
R0006,SITP_COMPLEMENTARIA Usme — SimónBolívar,sitp_complementaria,Operador B,Usme,SimónBolívar,18,Usme;Chapinero;PlazaBolívar;Av.Calle26;Cedritos;PortalNorte;Modelo;La Castellana;Tunal;Quirigua;La Candelaria;Engativá;Marsella;Soacha;Portal Sur;Kennedy;Suba;SimónBolívar,12.9,51,12,15.17,12,04:06:00,22:43:00,93,LINESTRING(...),synthetic_generated_by_chatgpt
R0007,ALIMENTADOR Av.Calle26 — Kennedy,alimentador,Operador A,Av.Calle26,Kennedy,18,Av.Calle26;La Castellana;Chía;Bosa;SimónBolívar;Modelo;San Victorino;Monserrate;Engativá;La Candelaria;NQS;Alquería;Calle80;Salitre;Marsella;Quirigua;Avenida19;Kennedy,17.25,55,10,18.82,5,05:56:00,22:51:00,203,LINESTRING(...),synthetic_generated_by_chatgpt
R0008,TRANSMILENIO_TRONCAL Fontibón — Avenida19,transmilenio_troncal,Operador B,Fontibón,Avenida19,16,Fontibón;Marsella;Quirigua;NQS;Tunal;Portal Sur;Kennedy;Monserrate;Avenida39;GranEstación;Cedritos;Suba;Museo;ColinaCampestre;Chapinero;Avenida19,17.01,51,7,20.01,15,04:23:00,21:09:00,67,LINESTRING(...),synthetic_generated_by_chatgpt
R0009,CABLE Marly — El Tintal,cable,Consorcio Zonal,Marly,El Tintal,12,Marly;Avenida39;ZonaFranc;Soacha;Centro;Cedritos;Modelo;SanAndresito;Restrepo;GranEstación;Portal Sur;El Tintal,10.01,34,4,17.66,15,04:34:00,23:57:00,77,LINESTRING(...),synthetic_generated_by_chatgpt
R0010,CABLE Galerías — La Castellana,cable,Consorcio Zonal,Galerías,La Castellana,9,Galerías;Parque93;Soacha;Portal Sur;ZonaFranc;El Tintal;Alquería;Museo;La Castellana,10.42,44,7,14.2,7,06:42:00,20:01:00,114,LINESTRING(...),synthetic_generated_by_chatgpt
R0011,CABLE Museo — Portal Sur,cable,Consorcio Zonal,Museo,Portal Sur,20,Museo;Alquería;Salitre;Usaquén;San Victorino;Bosa;Teusaquillo;Restrepo;CiudadBolívar;Avenida39;PortalNorte;Marly;Fontibón;Quirigua;SanAndresito;La Castellana;Modelo;Parque93;Soacha;Portal Sur,22.42,82,18,16.4,30,05:36:00,21:34:00,31,LINESTRING(...),synthetic_generated_by_chatgpt
R0012,TRANSMILENIO_TRONCAL Usaquén — Venecia,transmilenio_troncal,Empresa SITP,Usaquén,Venecia,14,Usaquén;ZonaFranc;Cedritos;GranEstación;Avenida39;San Victorino;Engativá;Restrepo;Salitre;PlazaBolívar;NQS;Chapinero;Teusaquillo;Venecia,11.5,45,8,15.33,30,06:24:00,22:26:00,32,LINESTRING(...),synthetic_generated_by_chatgpt
R0013,SITP_URBAN Alquería — Parque93,sitp_urban,Operador B,Alquería,Parque93,12,Alquería;Teusaquillo;Cedritos;El Tintal;Avenida19;Museo;San Victorino;Acueducto;Usaquén;Portal Sur;Tunal;Parque93,12.8,47,11,16.34,7,05:34:00,23:48:00,156,LINESTRING(...),synthetic_generated_by_chatgpt
R0014,ALIMENTADOR Teusaquillo — Usme,alimentador,Transmilenio S.A.,Teusaquillo,Usme,6,Teusaquillo;Cedritos;GranEstación;Calle80;Salitre;Usme,5.16,18,3,17.21,20,05:04:00,21:12:00,48,LINESTRING(...),synthetic_generated_by_chatgpt
R0015,ALIMENTADOR PortalNorte — Fontibón,alimentador,Consorcio Zonal,PortalNorte,Fontibón,18,PortalNorte;Tunal;Centro;GranEstación;Usme;Parque93;Kennedy;SanAndresito;La Castellana;Avenida19;Monserrate;PlazaBolívar;ColinaCampestre;Marsella;NQS;SimónBolívar;Alquería;Fontibón,16.81,59,10,17.09,15,05:11:00,23:26:00,73,LINESTRING(...),synthetic_generated_by_chatgpt
R0016,ALIMENTADOR Restrepo — El Tintal,alimentador,Operador B,Restrepo,El Tintal,7,Restrepo;Soacha;CiudadBolívar;Fontibón;Usaquén;San Victorino;El Tintal,6.41,26,5,14.8,15,04:39:00,22:06:00,69,LINESTRING(...),synthetic_generated_by_chatgpt
