route_id,mode,operator,departure_time,hour,weekday,stops_count,distance_km_est,scheduled_travel_time_min,observed_travel_time_min,passenger_count,frequency_min,trips_per_day_est,source
R0001,transmilenio_troncal,Transmilenio S.A.,2025-10-01T06:32:00,6,2,13,11.29,34,46.5,24,12,75,synthetic_generated_by_chatgpt
R0001,transmilenio_troncal,Transmilenio S.A.,2025-10-01T06:44:00,6,2,13,11.29,34,39.98,14,12,75,synthetic_generated_by_chatgpt
R0001,transmilenio_troncal,Transmilenio S.A.,2025-10-01T06:56:00,6,2,13,11.29,34,40.61,16,12,75,synthetic_generated_by_chatgpt
R0001,transmilenio_troncal,Transmilenio S.A.,2025-10-01T07:08:00,7,2,13,11.29,34,41.5,25,12,75,synthetic_generated_by_chatgpt
R0001,transmilenio_troncal,Transmilenio S.A.,2025-10-01T07:20:00,7,2,13,11.29,34,39.0,16,12,75,synthetic_generated_by_chatgpt
R0001,transmilenio_troncal,Transmilenio S.A.,2025-10-01T07:32:00,7,2,13,11.29,34,38.47,25,12,75,synthetic_generated_by_chatgpt
R0001,transmilenio_troncal,Transmilenio S.A.,2025-10-01T07:44:00,7,2,13,11.29,34,41.76,20,12,75,synthetic_generated_by_chatgpt
R0001,transmilenio_troncal,Transmilenio S.A.,2025-10-01T07:56:00,7,2,13,11.29,34,55.24,25,12,75,synthetic_generated_by_chatgpt
R0001,transmilenio_troncal,Transmilenio S.A.,2025-10-01T08:08:00,8,2,13,11.29,34,44.53,24,12,75,synthetic_generated_by_chatgpt
R0001,transmilenio_troncal,Transmilenio S.A.,2025-10-01T08:20:00,8,2,13,11.29,34,34.63,17,12,75,synthetic_generated_by_chatgpt
R0001,transmilenio_troncal,Transmilenio S.A.,2025-10-01T08:32:00,8,2,13,11.29,34,32.38,18,12,75,synthetic_generated_by_chatgpt
R0001,transmilenio_troncal,Transmilenio S.A.,2025-10-01T08:44:00,8,2,13,11.29,34,37.96,25,12,75,synthetic_generated_by_chatgpt
R0001,transmilenio_troncal,Transmilenio S.A.,2025-10-01T08:56:00,8,2,13,11.29,34,41.57,25,12,75,synthetic_generated_by_chatgpt
R0001,transmilenio_troncal,Transmilenio S.A.,2025-10-01T09:08:00,9,2,13,11.29,34,38.05,20,12,75,synthetic_generated_by_chatgpt
R0001,transmilenio_troncal,Transmilenio S.A.,2025-10-01T09:20:00,9,2,13,11.29,34,40.08,23,12,75,synthetic_generated_by_chatgpt
R0001,transmilenio_troncal,Transmilenio S.A.,2025-10-01T09:32:00,9,2,13,11.29,34,44.02,25,12,75,synthetic_generated_by_chatgpt
R0001,transmilenio_troncal,Transmilenio S.A.,2025-10-01T09:44:00,9,2,13,11.29,34,42.89,29,12,75,synthetic_generated_by_chatgpt
R0001,transmilenio_troncal,Transmilenio S.A.,2025-10-01T09:56:00,9,2,13,11.29,34,37.53,21,12,75,synthetic_generated_by_chatgpt
R0001,transmilenio_troncal,Transmilenio S.A.,2025-10-01T10:08:00,10,2,13,11.29,34,36.29,25,12,75,synthetic_generated_by_chatgpt
R0001,transmilenio_troncal,Transmilenio S.A.,2025-10-01T10:20:00,10,2,13,11.29,34,32.91,17,12,75,synthetic_generated_by_chatgpt
R0001,transmilenio_troncal,Transmilenio S.A.,2025-10-01T10:32:00,10,2,13,11.29,34,42.94,31,12,75,synthetic_generated_by_chatgpt
R0001,transmilenio_troncal,Transmilenio S.A.,2025-10-01T10:44:00,10,2,13,11.29,34,34.2,14,12,75,synthetic_generated_by_chatgpt
R0001,transmilenio_troncal,Transmilenio S.A.,2025-10-01T10:56:00,10,2,13,11.29,34,33.02,17,12,75,synthetic_generated_by_chatgpt
R0001,transmilenio_troncal,Transmilenio S.A.,2025-10-01T11:08:00,11,2,13,11.29,34,28.12,28,12,75,synthetic_generated_by_chatgpt
R0001,transmilenio_troncal,Transmilenio S.A.,2025-10-01T11:20:00,11,2,13,11.29,34,37.74,23,12,75,synthetic_generated_by_chatgpt
R0001,transmilenio_troncal,Transmilenio S.A.,2025-10-01T11:32:00,11,2,13,11.29,34,33.14,22,12,75,synthetic_generated_by_chatgpt
R0001,transmilenio_troncal,Transmilenio S.A.,2025-10-01T11:44:00,11,2,13,11.29,34,37.71,22,12,75,synthetic_generated_by_chatgpt
R0001,transmilenio_troncal,Transmilenio S.A.,2025-10-01T11:56:00,11,2,13,11.29,34,41.59,17,12,75,synthetic_generated_by_chatgpt
R0001,transmilenio_troncal,Transmilenio S.A.,2025-10-01T12:08:00,12,2,13,11.29,34,35.41,14,12,75,synthetic_generated_by_chatgpt
R0001,transmilenio_troncal,Transmilenio S.A.,2025-10-01T12:20:00,12,2,13,11.29,34,34.4,27,12,75,synthetic_generated_by_chatgpt
R0001,transmilenio_troncal,Transmilenio S.A.,2025-10-01T12:32:00,12,2,13,11.29,34,32.7,17,12,75,synthetic_generated_by_chatgpt
R0001,transmilenio_troncal,Transmilenio S.A.,2025-10-01T12:44:00,12,2,13,11.29,34,35.74,22,12,75,synthetic_generated_by_chatgpt
R0001,transmilenio_troncal,Transmilenio S.A.,2025-10-01T12:56:00,12,2,13,11.29,34,34.76,12,12,75,synthetic_generated_by_chatgpt
R0001,transmilenio_troncal,Transmilenio S.A.,2025-10-01T13:08:00,13,2,13,11.29,34,34.62,16,12,75,synthetic_generated_by_chatgpt
